nama_produk,kategori,toko,harga,harga_asli,diskon,rating,terjual,varian,deskripsi,link
EIGER Phalanger 45 Carrier Tas Gunung,Tas,Eiger Adventure Official,Rp979.000,Rp1.049.000,7%,4.9,5010 terjual,Black | Green | Dark Navy,Tas carrier gunung EIGER seri Phalanger 45 dirancang untuk pendakian 1-2 hari. Teknologi Fit Light Hike Backsystem memberikan sirkulasi udara yang baik di punggung. Rain cover bawaan sudah termasuk. Material polyester 600D tahan lama.,https://shopee.co.id/EIGER-PHALANGER-45-CARRIER-TAS-GUNUNG-i.123456.1001
EIGER Z-Lucid 45 Carrier Tas Gunung,Tas,Eiger Adventure Official,Rp759.000,Rp799.000,5%,4.8,5018 terjual,Black | Grey | Olive Green,Z-Lucid 45 adalah carrier serbaguna untuk hiking ringan hingga menengah. Kapasitas 45 liter cukup untuk pendakian 1-3 hari. Dilengkapi Fit Light Hike Backsystem dan rain cover. Harga terjangkau dengan fitur lengkap.,https://shopee.co.id/EIGER-Z-LUCID-45-CARRIER-TAS-GUNUNG-i.123456.1002
EIGER Z-Hikestarter 48 Carrier Tas Gunung,Tas,Eiger Adventure Official,Rp999.000,Rp999.000,,4.9,3 terjual,Black | Blue Navy,Carrier terbaru EIGER cocok untuk pendakian 2-3 hari. Dilengkapi frame aluminium internal untuk distribusi beban yang lebih baik. Hip belt ergonomis memindahkan beban dari bahu ke pinggul secara optimal. Material nylon 420D.,https://shopee.co.id/EIGER-Z-HIKESTARTER-48-CARRIER-i.123456.1003
EIGER Escapade 25 1A Daypack Hiking Pria,Tas,Eiger Adventure Official,Rp549.000,Rp549.000,,4.8,892 terjual,Black | Grey | Orange | Olive,Daypack ideal untuk hiking sehari penuh atau aktivitas outdoor harian. Kapasitas 25 liter dengan sleeve laptop 15 inch dan kompatibel hydration bladder 2 liter. Fit Light Hike Backsystem untuk kenyamanan punggung.,https://shopee.co.id/EIGER-ESCAPADE-25-DAYPACK-i.123456.1004
EIGER Hyperlite Summit 35 Tas Gunung Ultralight,Tas,Eiger Adventure Official,Rp1.299.000,Rp1.399.000,7%,4.9,214 terjual,Black | Carbon Grey,Dirancang khusus untuk summit attack dan speed hiking. Material nylon ripstop 210D ultralight sangat ringan namun kuat. Wire frame steel fleksibel menjaga stabilitas saat bergerak cepat di jalur pendakian.,https://shopee.co.id/EIGER-HYPERLITE-SUMMIT-35-i.123456.1005
EIGER WS Spider Rock 22 Backpack Wanita,Tas,Eiger Adventure Official,Rp499.000,Rp499.000,,4.7,456 terjual,Purple | Teal | Black | Pink Coral,Daypack wanita EIGER cocok untuk pendakian singkat atau tektok. Backsystem khusus wanita dengan torso lebih pendek. Kapasitas 22 liter dengan saku kantung air dan dua saku samping. Desain ergonomis untuk postur wanita.,https://shopee.co.id/EIGER-WS-SPIDER-ROCK-22-i.123456.1006
EIGER Eliptic Solaris 55 Carrier Premium,Tas,Eiger Adventure Official,Rp4.599.000,Rp4.599.000,,5.0,67 terjual,Black | Forest Green,Carrier premium EIGER untuk ekspedisi panjang 3-5 hari. Aerovoid Backsystem memberikan ventilasi udara terbaik. Kompartemen sleeping bag terpisah di bawah. Frame HDPE internal. Rain cover premium sudah termasuk.,https://shopee.co.id/EIGER-ELIPTIC-SOLARIS-55-i.123456.1007
EIGER 1989 Waist Bag Tas Pinggang Outdoor,Tas,Eiger Adventure Official,Rp249.000,Rp299.000,17%,4.8,1203 terjual,Black | Olive | Tan Brown | Navy,Waist bag bergaya retro-outdoor cocok untuk aktivitas kasual city trip maupun hiking ringan. Tali pinggang adjustable hingga 130cm. D-ring untuk attachment carabiner. Desain compact dan fungsional.,https://shopee.co.id/EIGER-1989-WAIST-BAG-i.123456.1008
EIGER Velos Shoulder Bag Sling Bag Pria,Tas,Eiger Adventure Official,Rp329.000,Rp349.000,6%,4.7,678 terjual,Black | Grey | Olive Green,Shoulder bag ideal untuk aktivitas sehari-hari commuting dan perjalanan singkat. Kompartemen organizer dengan slot kartu dan pen loop. Bahan water-repellent melindungi dari cipratan hujan. Tali bahu adjustable dan detachable.,https://shopee.co.id/EIGER-VELOS-SHOULDER-BAG-i.123456.1009
EIGER Expedition Duffle Bag 60L Tas Travel,Tas,Eiger Adventure Official,Rp699.000,Rp799.000,13%,4.8,342 terjual,Black | Grey | Olive,Duffle bag 60L dengan material PVC-coated sepenuhnya tahan air. Bukaan U-shape lebar untuk akses mudah. Cocok untuk camping basah atau perjalanan jauh 3-5 hari. Tali bahu adjustable yang bisa dilepas.,https://shopee.co.id/EIGER-EXPEDITION-DUFFLE-60L-i.123456.1010
EIGER Canvas Organizer Pouch Tas Kecil,Tas,Eiger Adventure Official,Rp149.000,Rp179.000,17%,4.6,521 terjual,Black | Tan | Olive | Navy,Pouch organizer bergaya heritage outdoor untuk menyimpan perlengkapan kecil seperti P3K peralatan navigasi atau dokumen. Material canvas waxed memberikan karakter vintage sekaligus tahan air.,https://shopee.co.id/EIGER-CANVAS-ORGANIZER-POUCH-i.123456.1011
EIGER Urban Commuter Laptop Backpack 20L,Tas,Eiger Adventure Official,Rp449.000,Rp499.000,10%,4.7,789 terjual,Black | Charcoal | Navy,Tas kerja outdoor dengan sleeve laptop 15.6 inch berpadding. USB charging port external untuk isi daya smartphone. Punggung berpadding berventilasi. Reflective strip untuk keamanan malam hari. Cocok di kantor maupun outdoor.,https://shopee.co.id/EIGER-URBAN-COMMUTER-LAPTOP-20L-i.123456.1012
